;;;;;;;;;;;;;;;;
CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
05-01-0065-43;05-022;ESCUINTLA;ESCUINTLA;EOUM FRANCISCO ESPINOZA;1A. AVENIDA COLONIA EL FERROCARRILERO;55106764;JUAN ALBERTO MACHUCA ALVAREZ;JUAN CARLOS VSQUEZ DEL CID;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0066-42;05-021;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM;COLONIA LAS GOLONDRINAS;78841851;LUZ DEL ROSARIO RODRIGUEZ DE LEON;HILMA TERESA DE LEӎ RODR͇UEZ;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0066-43;05-021;ESCUINTLA;ESCUINTLA;EOUM;COLONIA LAS GOLONDRINAS;78841851;LUZ DEL ROSARIO RODRIGUEZ DE LEON;HILMA TERESA DE LEӎ RODR͇UEZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0067-43;05-021;ESCUINTLA;ESCUINTLA;EOUM MURRAY D. LINCOLN;COLONIA MODELO I ZONA 2;78894898;LUZ DEL ROSARIO RODRIGUEZ DE LEON;IRMA YOLANDA HERRARTE;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0068-43;05-021;ESCUINTLA;ESCUINTLA;EOUM TIPO FEDERACION JOSE MARTI;4A. AVENIDA Y 1A. CALLE ZONA 1;57010035;LUZ DEL ROSARIO RODRIGUEZ DE LEON;HAYDEE JUDITH CASTILLO OVANDO;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0069-43;05-025;ESCUINTLA;ESCUINTLA;EPRM EPRM;KM. 72.5 CARRETERA A TAXISCO FINCA SAN JUAN SINACAPA;55272290;ALMA LIBERTAD PEREZ MARTINEZ;YOLANDA LEONOR MEDINA ESTRADA;PRIMARIA;PRIVADO;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0070-43;05-025;ESCUINTLA;ESCUINTLA;EPRM EPRM;KM.64.5 RUTA A SIQUINALA FINCA SAGITARIO;35692643;ALMA LIBERTAD PEREZ MARTINEZ;DIANA IBETH MARTINEZ LOPEZ;PRIMARIA;PRIVADO;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0072-43;05-001;ESCUINTLA;ESCUINTLA;ESCUELA PRIVADA RURAL MIXTA SAN DIEGO;FINCA SAN DIEGO;47404393;MARIA DEL CARMEN SANDOVAL LOPEZ;LILIAN LETICIA MOREIRA CASTELLANOS;PRIMARIA;PRIVADO;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0074-43;05-001;ESCUINTLA;ESCUINTLA;EPRM FINCA GUACHIPILIN;FINCA EL GUACHIPILIN;41720490;MARIA DEL CARMEN SANDOVAL LOPEZ;MAYRA GRISELDA VALENZUELA RODRIGUEZ;PRIMARIA;PRIVADO;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0075-43;;ESCUINTLA;ESCUINTLA;EPRM;FINCA SAN FRANCISCO DE ASIS ALDEA GUADALUPE;;;;PRIMARIA;PRIVADO;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0078-43;05-001;ESCUINTLA;ESCUINTLA;EPRM;FINCA LOS CERRITOS;;MARIA DEL CARMEN SANDOVAL LOPEZ;;PRIMARIA;PRIVADO;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0079-43;05-001;ESCUINTLA;ESCUINTLA;EPRM;KILOMETRO 72.5 CARRETERA A TAXISCO HACIENDA DOLORES;;MARIA DEL CARMEN SANDOVAL LOPEZ;;PRIMARIA;PRIVADO;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
